                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1495,                 5.0096,                 2.1944,                0.01545,                0.54247,                0.02265,                0.00898,                  2.151,                 3.7241,                  2.024,             6.4381e-05,             6.4381e-05,             6.4381e-05
                      2,                 1.2962,                 4.2017,                 1.5931,                0.01378,                0.80613,                0.04084,                0.02604,                 1.4143,                 3.1942,                 1.5909,             0.00012937,             0.00012937,             0.00012937
                      3,                 1.1484,                 3.8391,                 1.4864,                 0.0136,                0.95073,                0.04784,                0.03254,                  1.161,                 2.9263,                 1.4674,             0.00012994,             0.00012994,             0.00012994
                      4,                 1.0375,                 3.6267,                 1.4066,                0.10262,                0.72138,                0.05279,                0.03866,                0.99595,                 2.7886,                 1.3719,             0.00012987,             0.00012987,             0.00012987
                      5,                0.97761,                 3.4504,                 1.3644,                0.40948,                0.15671,                0.06041,                0.04455,                0.94059,                 2.7219,                   1.34,             0.00012977,             0.00012977,             0.00012977
                      6,                0.94747,                 3.3272,                 1.3499,                0.22424,                0.22834,                0.07548,                0.06057,                0.80256,                 2.6468,                  1.268,             0.00012964,             0.00012964,             0.00012964
                      7,                0.88255,                  3.187,                 1.3005,                0.31347,                0.20621,                0.08928,                0.07189,                  0.791,                 2.5804,                 1.2853,             0.00012949,             0.00012949,             0.00012949
                      8,                0.84649,                 3.0899,                 1.2718,                 0.3008,                0.21151,                0.09925,                0.08082,                0.76262,                 2.5367,                 1.2259,              0.0001293,              0.0001293,              0.0001293
                      9,                0.82821,                 2.9708,                 1.2538,                0.25696,                0.21905,                0.11064,                 0.0919,                0.70215,                 2.5072,                 1.2064,             0.00012909,             0.00012909,             0.00012909
                     10,                0.81736,                 2.9096,                 1.2518,                0.23147,                0.31797,                0.11599,                0.09826,                 0.6378,                  2.448,                 1.1677,             0.00012885,             0.00012885,             0.00012885
                     11,                0.77946,                 2.8352,                 1.2333,                0.18173,                0.32163,                0.12478,                 0.1048,                0.63434,                 2.4467,                 1.1559,             0.00012858,             0.00012858,             0.00012858
                     12,                0.78508,                 2.7668,                 1.2213,                0.22414,                 0.3216,                0.16813,                0.14313,                0.63841,                 2.3087,                 1.1557,             0.00012828,             0.00012828,             0.00012828
                     13,                0.75099,                 2.6784,                 1.2063,                0.39164,                0.31777,                0.20723,                0.17559,                0.62166,                 2.2179,                 1.1467,             0.00012796,             0.00012796,             0.00012796
                     14,                0.76481,                 2.6234,                 1.2119,                0.29218,                0.40804,                0.22059,                0.19013,                0.59939,                 2.1417,                 1.1201,             0.00012761,             0.00012761,             0.00012761
                     15,                0.72953,                 2.5381,                  1.185,                0.47089,                0.36629,                0.26285,                0.22481,                0.62221,                 2.0752,                  1.127,             0.00012723,             0.00012723,             0.00012723
                     16,                0.73514,                 2.4876,                 1.1865,                 0.2638,                0.45525,                0.26561,                0.23264,                0.55735,                 2.0186,                 1.0951,             0.00012682,             0.00012682,             0.00012682
                     17,                0.70835,                  2.404,                 1.1697,                0.28578,                0.46379,                0.29459,                 0.2553,                0.56604,                 1.9408,                 1.1099,             0.00012639,             0.00012639,             0.00012639
                     18,                0.70785,                 2.3514,                 1.1651,                0.27061,                0.49261,                 0.3186,                0.27517,                0.57228,                 1.8741,                 1.1008,             0.00012593,             0.00012593,             0.00012593
                     19,                0.70091,                 2.2962,                 1.1607,                0.24119,                0.47622,                0.31253,                 0.2711,                0.57924,                 1.8815,                 1.1065,             0.00012544,             0.00012544,             0.00012544
                     20,                0.70055,                 2.2604,                  1.161,                0.26671,                0.50222,                   0.36,                0.31744,                0.51254,                 1.7779,                 1.0654,             0.00012493,             0.00012493,             0.00012493
                     21,                0.68093,                 2.2008,                 1.1499,                0.30694,                0.52933,                 0.3847,                0.33393,                0.59405,                 1.7539,                  1.092,             0.00012439,             0.00012439,             0.00012439
