                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1881,                 4.4855,                 1.3403,                0.11686,                 0.1416,                0.03059,                0.02114,                 1.1261,                 3.4119,                 1.3009,              0.0001245,              0.0001245,              0.0001245
                      2,                 1.1979,                 3.9576,                 1.3438,                0.09679,                0.13953,                0.03854,                0.02828,                 1.0855,                 3.2271,                 1.2707,             0.00024947,             0.00024947,             0.00024947
                      3,                 1.1879,                 3.7011,                 1.3379,                 0.0795,                0.16346,                0.05003,                0.03448,                 1.0944,                 3.0974,                 1.2596,             0.00024989,             0.00024989,             0.00024989
                      4,                 1.1733,                 3.5318,                 1.3094,                0.07189,                0.20164,                0.06147,                0.04432,                 1.0395,                 2.9939,                 1.2266,             0.00024975,             0.00024975,             0.00024975
                      5,                 1.1509,                 3.4086,                 1.2878,                0.10969,                0.18674,                0.06198,                0.04387,                 1.0421,                 2.8839,                 1.2088,             0.00024956,             0.00024956,             0.00024956
                      6,                  1.145,                 3.3229,                 1.2869,                0.07401,                0.23246,                0.07153,                 0.0511,                 1.0491,                 2.8251,                  1.201,             0.00024932,             0.00024932,             0.00024932
                      7,                  1.151,                 3.2057,                 1.2764,                0.12499,                0.19321,                 0.0831,                0.06307,                  1.003,                 2.8079,                 1.2185,             0.00024902,             0.00024902,             0.00024902
                      8,                 1.1239,                 3.1165,                 1.2657,                0.12905,                0.22304,                0.09018,                0.06346,                 1.0397,                 2.7811,                 1.2167,             0.00024866,             0.00024866,             0.00024866
                      9,                 1.1087,                 3.0394,                 1.2558,                0.10935,                0.23325,                0.10415,                0.07908,                0.97812,                 2.6563,                 1.1767,             0.00024825,             0.00024825,             0.00024825
                     10,                 1.0889,                 2.9665,                 1.2455,                0.10817,                0.25128,                0.10319,                0.07491,                 1.0123,                 2.7063,                 1.1944,             0.00024779,             0.00024779,             0.00024779
                     11,                 1.0937,                 2.9125,                 1.2505,                0.12743,                0.23624,                0.10134,                0.07284,                 1.0041,                 2.6955,                 1.1973,             0.00024727,             0.00024727,             0.00024727
                     12,                 1.0727,                 2.8632,                 1.2385,                 0.1332,                0.26079,                0.12532,                0.09324,                0.99551,                 2.5936,                 1.1704,              0.0002467,              0.0002467,              0.0002467
                     13,                 1.0691,                 2.8251,                 1.2255,                0.17237,                0.23865,                0.13111,                0.09859,                0.97483,                 2.5592,                 1.1728,             0.00024608,             0.00024608,             0.00024608
                     14,                 1.0659,                 2.7717,                 1.2337,                 0.1751,                0.23249,                0.14826,                0.10827,                0.99334,                 2.5701,                 1.1851,              0.0002454,              0.0002454,              0.0002454
                     15,                 1.0723,                 2.7483,                 1.2322,                0.15281,                0.25484,                 0.1439,                0.10814,                 1.0038,                 2.5598,                 1.1749,             0.00024467,             0.00024467,             0.00024467
                     16,                 1.0653,                 2.6961,                 1.2288,                0.17598,                0.28543,                0.15754,                0.11925,                0.97658,                 2.4788,                 1.1662,             0.00024389,             0.00024389,             0.00024389
                     17,                 1.0365,                 2.6429,                 1.2109,                0.16737,                0.29682,                 0.1545,                0.11643,                 0.9738,                 2.4763,                 1.1584,             0.00024305,             0.00024305,             0.00024305
                     18,                 1.0515,                 2.6244,                 1.2199,                0.16249,                0.27419,                0.15758,                0.11788,                0.98255,                 2.5063,                 1.1702,             0.00024217,             0.00024217,             0.00024217
                     19,                 1.0371,                  2.578,                  1.206,                0.16785,                0.27506,                0.17505,                0.13302,                 1.0035,                 2.4515,                 1.1916,             0.00024123,             0.00024123,             0.00024123
                     20,                 1.0331,                 2.5526,                 1.2046,                0.18055,                0.30309,                0.17441,                0.13146,                0.96966,                 2.4247,                 1.1593,             0.00024024,             0.00024024,             0.00024024
                     21,                 1.0245,                 2.5115,                 1.1941,                0.22162,                0.27179,                0.19985,                   0.15,                0.97431,                 2.3828,                  1.157,              0.0002392,              0.0002392,              0.0002392
                     22,                 1.0079,                 2.4667,                 1.1827,                0.19763,                0.29773,                 0.1977,                0.14879,                0.97366,                  2.359,                 1.1587,             0.00023812,             0.00023812,             0.00023812
                     23,                 1.0286,                 2.4604,                 1.2007,                0.20244,                0.27777,                0.19611,                0.14809,                0.99984,                 2.3835,                 1.1729,             0.00023698,             0.00023698,             0.00023698
                     24,                 1.0188,                 2.4063,                 1.1881,                0.19009,                0.29033,                0.18965,                0.14184,                0.93401,                 2.3904,                  1.143,             0.00023579,             0.00023579,             0.00023579
                     25,                 1.0161,                 2.3991,                 1.1906,                0.25428,                0.26654,                0.21473,                0.16121,                0.95906,                 2.3453,                 1.1449,             0.00023455,             0.00023455,             0.00023455
                     26,                 1.0046,                 2.3857,                  1.187,                0.21955,                0.27537,                  0.211,                0.16039,                0.96727,                 2.3361,                 1.1491,             0.00023327,             0.00023327,             0.00023327
                     27,                 1.0091,                 2.3589,                 1.1814,                 0.2463,                0.32601,                0.23055,                0.17366,                0.96037,                 2.3009,                 1.1499,             0.00023194,             0.00023194,             0.00023194
                     28,                 1.0013,                 2.2969,                 1.1826,                0.22672,                0.29631,                0.23792,                0.17746,                0.95453,                 2.2971,                 1.1679,             0.00023056,             0.00023056,             0.00023056
                     29,                0.99823,                 2.2948,                 1.1733,                0.25582,                0.31729,                0.24198,                0.17965,                0.96504,                 2.2489,                  1.142,             0.00022914,             0.00022914,             0.00022914
                     30,                0.98947,                 2.2571,                 1.1746,                0.26876,                0.31927,                0.24161,                0.18095,                0.96687,                 2.2991,                 1.1462,             0.00022767,             0.00022767,             0.00022767
                     31,                0.99922,                 2.2591,                 1.1842,                0.24787,                0.29083,                 0.2323,                0.17572,                0.93296,                 2.3163,                 1.1339,             0.00022615,             0.00022615,             0.00022615
                     32,                0.98799,                 2.2163,                 1.1641,                0.28166,                0.31576,                0.27017,                0.20342,                0.97234,                 2.2467,                 1.1671,             0.00022459,             0.00022459,             0.00022459
                     33,                 0.9906,                 2.2028,                 1.1724,                0.25677,                0.33315,                0.26687,                0.20236,                0.94961,                 2.2477,                 1.1424,             0.00022299,             0.00022299,             0.00022299
                     34,                0.97809,                 2.1493,                  1.166,                0.28501,                0.32906,                  0.271,                0.20809,                0.92661,                  2.191,                 1.1262,             0.00022134,             0.00022134,             0.00022134
                     35,                0.97278,                 2.1474,                  1.161,                0.28701,                0.32288,                0.26771,                0.20604,                0.93818,                  2.215,                 1.1347,             0.00021965,             0.00021965,             0.00021965
                     36,                0.96609,                 2.1359,                 1.1621,                0.28566,                0.33657,                0.26934,                0.20362,                0.93985,                 2.2234,                  1.134,             0.00021793,             0.00021793,             0.00021793
