                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0102,                 4.7647,                 2.5611,                  1e-05,                0.00194,                  2e-05,                  1e-05,                 3.8841,                 5.0629,                 3.4386,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 2.9187,                 4.6946,                 2.4726,                  1e-05,                0.00211,                  1e-05,                      0,                 3.8841,                 5.0628,                 3.4414,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 2.7605,                  4.484,                 2.4343,                  1e-05,                0.00205,                  1e-05,                      0,                 3.8838,                  5.056,                 3.4437,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 2.6631,                 4.5073,                 2.3233,                  1e-05,                0.00205,                  1e-05,                      0,                 3.8832,                 5.0589,                 3.4476,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 2.5185,                 4.3991,                  2.261,                  1e-05,                0.00205,                  1e-05,                      0,                 3.8814,                 5.0277,                 3.4516,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 2.3692,                 4.3354,                 2.1341,                  1e-05,                0.00211,                  1e-05,                      0,                 3.8803,                 5.0364,                  3.457,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 2.2632,                 4.1991,                 2.0955,                  1e-05,                0.00211,                  1e-05,                      0,                 3.8797,                 5.0384,                  3.461,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 2.1981,                 4.0633,                 2.0128,                  1e-05,                0.00205,                  1e-05,                      0,                 3.8767,                 4.8876,                 3.4683,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 2.1435,                 4.1253,                 2.0061,                  1e-05,                0.00222,                  1e-05,                      0,                 3.8734,                    4.9,                 3.4736,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                  2.031,                 4.0694,                 1.9653,                  2e-05,                0.00266,                  1e-05,                      0,                 3.8691,                 4.9053,                 3.4764,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.9464,                 3.8063,                 1.8552,                  2e-05,                0.00277,                  2e-05,                  1e-05,                 3.8499,                 4.8993,                 3.4737,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.9255,                 3.7439,                  1.833,                  2e-05,                0.00305,                  2e-05,                  1e-05,                 3.8159,                 4.8948,                 3.4598,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.8986,                  3.779,                 1.8081,                  2e-05,                0.00344,                  5e-05,                  1e-05,                 3.7518,                 4.8693,                 3.4272,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.9067,                  3.582,                 1.8243,                  3e-05,                0.00388,                 0.0001,                  2e-05,                 3.6373,                 4.8105,                 3.3622,             0.00010368,             0.00010368,             0.00010368
                     15,                 1.8529,                 3.5411,                 1.7699,                  3e-05,                0.00494,                0.00025,                  7e-05,                 3.4353,                 4.6974,                  3.226,             0.00010251,             0.00010251,             0.00010251
                     16,                 1.8008,                 3.4535,                 1.7331,                0.02201,                0.01124,                0.01399,                0.00781,                 3.1139,                 4.4971,                 2.9978,             0.00010133,             0.00010133,             0.00010133
                     17,                 1.7458,                 3.3733,                 1.7012,                0.08465,                0.03082,                 0.0543,                0.03729,                 2.7546,                  4.232,                 2.7152,             0.00010015,             0.00010015,             0.00010015
                     18,                 1.8476,                 3.3987,                 1.7541,                0.08946,                0.06037,                0.07709,                0.05402,                  2.439,                 3.9436,                 2.4509,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                  1.757,                 3.2851,                  1.701,                0.16085,                0.13512,                0.16239,                0.10709,                 2.2119,                 3.6475,                 2.2411,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                 1.6848,                 3.1285,                 1.6536,                0.14015,                0.20717,                0.19698,                 0.1401,                 2.0341,                 3.3636,                 2.0632,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                 1.7142,                 3.0903,                 1.6755,                0.15235,                0.27041,                0.24699,                0.17452,                  1.877,                 3.0951,                 1.9128,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                 1.7409,                 3.0464,                 1.6885,                0.15373,                0.32417,                0.27449,                0.19474,                 1.7778,                 2.9143,                 1.8244,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                 1.7337,                 3.0392,                 1.6753,                0.19764,                0.38179,                0.32831,                0.22674,                 1.7207,                 2.7952,                 1.7742,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                 1.6657,                  2.947,                  1.649,                0.43077,                0.29419,                0.35552,                0.24577,                 1.6769,                 2.6835,                 1.7308,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                 1.7529,                 3.0633,                  1.701,                0.66223,                0.22569,                0.37371,                0.25696,                 1.6474,                 2.5704,                 1.6843,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                 1.7212,                 2.9027,                 1.6468,                0.63759,                0.25629,                0.37601,                0.26037,                 1.5772,                 2.4322,                 1.6168,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                  1.663,                 2.8238,                 1.6318,                0.55957,                0.28771,                 0.3668,                0.25613,                 1.5288,                 2.3342,                 1.5629,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     28,                 1.6143,                 2.8082,                 1.6049,                0.58069,                0.29735,                0.37164,                0.25976,                 1.5112,                 2.2727,                 1.5385,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     29,                 1.6471,                 2.6751,                 1.5761,                0.56185,                0.32762,                0.38125,                  0.266,                 1.4963,                 2.2345,                 1.5261,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     30,                 1.5764,                 2.6829,                 1.5549,                0.57502,                0.32787,                0.38898,                0.27374,                 1.5017,                 2.2374,                 1.5367,             8.4835e-05,             8.4835e-05,             8.4835e-05
