                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9873,                 4.8951,                 2.5552,                  2e-05,                0.00227,                  1e-05,                      0,                 3.9207,                 5.0844,                 3.4608,              3.689e-05,              3.689e-05,              3.689e-05
                      2,                 2.7487,                 4.7544,                 2.3991,                  1e-05,                0.00216,                  1e-05,                  1e-05,                 3.9149,                 5.0586,                 3.4767,             7.4228e-05,             7.4228e-05,             7.4228e-05
                      3,                 2.5495,                 4.6321,                 2.2852,                  2e-05,                0.00322,                  2e-05,                  1e-05,                 3.8894,                 4.8978,                 3.4773,             0.00011081,             0.00011081,             0.00011081
                      4,                  2.475,                 4.4002,                 2.2204,                  3e-05,                0.00421,                  6e-05,                  2e-05,                  3.635,                 4.7858,                 3.3038,             0.00011547,             0.00011547,             0.00011547
                      5,                 2.3161,                 4.3653,                  2.139,                0.00039,                0.01265,                0.00331,                0.00108,                  2.658,                 4.2811,                 2.5655,             0.00011429,             0.00011429,             0.00011429
                      6,                 2.2912,                 4.2473,                 2.1138,                0.03005,                0.02546,                0.02417,                0.01698,                 2.1646,                 3.9829,                 2.1128,             0.00011311,             0.00011311,             0.00011311
                      7,                 2.1606,                  4.107,                 2.0306,                0.07024,                0.04794,                 0.0546,                0.03686,                 2.0123,                 3.8468,                 1.9557,             0.00011193,             0.00011193,             0.00011193
                      8,                  2.161,                 4.2195,                 2.0056,                0.07865,                0.08427,                0.07558,                0.04689,                 1.9355,                 3.7505,                 1.8811,             0.00011075,             0.00011075,             0.00011075
                      9,                 2.0505,                  4.143,                 1.9462,                0.08972,                0.12673,                0.10123,                 0.0709,                 1.8853,                 3.6487,                 1.8393,             0.00010958,             0.00010958,             0.00010958
                     10,                 1.9979,                 4.0021,                 1.9215,                0.11926,                0.16391,                0.14248,                0.10436,                 1.8571,                 3.5716,                 1.8179,              0.0001084,              0.0001084,              0.0001084
                     11,                 1.9255,                  3.972,                 1.8765,                0.14905,                0.19606,                0.17433,                0.12575,                 1.8254,                 3.4988,                 1.7924,             0.00010722,             0.00010722,             0.00010722
                     12,                 1.9841,                 3.7898,                 1.8507,                0.14273,                0.21409,                0.18574,                0.12996,                 1.7784,                 3.3999,                 1.7601,             0.00010604,             0.00010604,             0.00010604
                     13,                  1.919,                 3.8344,                 1.8466,                0.14044,                0.22752,                0.19441,                0.13849,                 1.7557,                 3.3121,                  1.744,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.9249,                 3.8157,                 1.8499,                0.13805,                0.23484,                0.19238,                0.13688,                 1.7503,                 3.2858,                 1.7364,             0.00010368,             0.00010368,             0.00010368
                     15,                 1.8921,                 3.7782,                 1.8066,                0.13171,                0.24501,                0.19826,                0.14175,                 1.7274,                 3.1909,                 1.7143,             0.00010251,             0.00010251,             0.00010251
                     16,                 1.8656,                 3.6366,                 1.7306,                 0.1493,                0.27458,                 0.2241,                0.15376,                 1.7023,                 3.0855,                 1.6936,             0.00010133,             0.00010133,             0.00010133
                     17,                 1.8327,                 3.5784,                 1.7491,                0.16529,                0.31162,                0.25659,                0.17072,                 1.6858,                 3.0061,                 1.6764,             0.00010015,             0.00010015,             0.00010015
                     18,                 1.8667,                 3.5333,                 1.8052,                0.16045,                0.34342,                0.26823,                0.17461,                 1.6547,                  2.936,                 1.6573,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                 1.8152,                 3.4792,                 1.7456,                0.29777,                0.29208,                0.26341,                0.17822,                 1.6427,                 2.8802,                 1.6484,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                 1.8346,                  3.472,                 1.7486,                0.48442,                 0.2253,                0.26384,                0.18393,                 1.6148,                 2.8035,                 1.6224,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                 1.8234,                 3.4284,                 1.7479,                0.59038,                0.18108,                0.27499,                0.19432,                 1.6009,                 2.7669,                 1.6173,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                 1.7929,                 3.3491,                 1.7642,                0.56621,                0.20341,                0.28119,                0.20097,                 1.5987,                 2.7207,                  1.612,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                 1.8268,                 3.4716,                 1.7832,                0.58713,                0.22641,                0.28601,                0.20177,                 1.5883,                 2.6373,                 1.6021,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                 1.7917,                 3.3594,                 1.7244,                0.57481,                0.23508,                 0.3022,                0.20997,                 1.5838,                 2.5741,                 1.5962,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                 1.7668,                 3.4028,                 1.7108,                0.58835,                0.25097,                0.30199,                0.21295,                 1.5411,                 2.4967,                 1.5629,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                 1.7137,                 3.1153,                 1.6795,                0.52466,                0.25978,                0.32365,                0.22401,                 1.5191,                 2.4516,                 1.5473,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                 1.7128,                 3.1395,                 1.6706,                0.52379,                0.26086,                0.33909,                0.23877,                 1.5052,                 2.4333,                 1.5342,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     28,                 1.6979,                 3.2293,                 1.6641,                0.49972,                0.27196,                0.34552,                0.24265,                 1.4953,                 2.4066,                 1.5232,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     29,                 1.6028,                 3.1698,                 1.6504,                0.52533,                0.26901,                0.34877,                0.24365,                 1.4829,                 2.4026,                 1.5152,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     30,                 1.5979,                 3.0522,                 1.6097,                0.60284,                0.26471,                0.34624,                0.25263,                 1.4691,                 2.4049,                 1.5102,             8.4835e-05,             8.4835e-05,             8.4835e-05
