                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1557,                 5.2828,                 2.7237,                  2e-05,                0.00233,                  2e-05,                  1e-05,                 3.9196,                  5.154,                  3.489,             3.9047e-05,             3.9047e-05,             3.9047e-05
                      2,                 2.9641,                 4.8388,                 2.5993,                  2e-05,                 0.0025,                  2e-05,                  1e-05,                 3.9134,                 5.0111,                 3.4887,             7.7934e-05,             7.7934e-05,             7.7934e-05
                      3,                 2.8451,                 4.8495,                 2.5497,                  3e-05,                0.00471,                  6e-05,                  2e-05,                 3.5295,                 4.9091,                 3.2095,             0.00011604,             0.00011604,             0.00011604
                      4,                 2.7321,                 4.9323,                 2.4638,                0.00022,                0.01596,                0.00405,                0.00103,                 2.6007,                 4.3911,                 2.4083,             0.00011547,             0.00011547,             0.00011547
                      5,                 2.5899,                 4.7811,                 2.3962,                0.01423,                 0.0217,                0.01376,                0.00622,                 2.4562,                  4.333,                 2.2729,             0.00011429,             0.00011429,             0.00011429
                      6,                 2.5388,                 4.7781,                 2.3167,                0.00484,                0.02148,                0.00895,                0.00431,                 2.3427,                 4.3008,                 2.2081,             0.00011311,             0.00011311,             0.00011311
                      7,                  2.537,                 4.6007,                 2.3212,                0.01678,                0.02198,                0.01471,                0.00896,                 2.2638,                 4.2375,                 2.1629,             0.00011193,             0.00011193,             0.00011193
                      8,                 2.3165,                 4.6751,                 2.2027,                0.01305,                0.03326,                0.01991,                0.01109,                 2.1972,                 4.1597,                 2.1302,             0.00011075,             0.00011075,             0.00011075
                      9,                 2.3922,                 4.5805,                 2.1877,                0.01148,                0.04203,                0.02543,                0.01457,                 2.1502,                 4.0913,                 2.1084,             0.00010958,             0.00010958,             0.00010958
                     10,                 2.2717,                 4.5104,                 2.1732,                 0.0507,                0.05123,                0.04992,                0.03364,                 2.0933,                  4.032,                 2.0434,              0.0001084,              0.0001084,              0.0001084
                     11,                 2.1908,                 4.3159,                  2.056,                0.07921,                0.07027,                0.06983,                0.05007,                 2.0394,                 3.9739,                 2.0076,             0.00010722,             0.00010722,             0.00010722
                     12,                 2.2104,                 4.3216,                 2.1069,                0.07542,                0.08043,                0.07107,                0.05189,                 2.0022,                 3.9116,                 1.9674,             0.00010604,             0.00010604,             0.00010604
                     13,                 2.1497,                 4.2561,                  2.059,                 0.0643,                0.08735,                0.06801,                0.05096,                 1.9691,                 3.8449,                 1.9458,             0.00010486,             0.00010486,             0.00010486
                     14,                 2.1859,                 4.3567,                 2.0659,                0.09386,                0.11185,                0.09513,                0.06289,                  1.922,                 3.7674,                 1.9224,             0.00010368,             0.00010368,             0.00010368
                     15,                 2.1069,                 4.3552,                 2.0332,                 0.1095,                0.13267,                0.11686,                0.07964,                 1.9067,                 3.7061,                 1.9225,             0.00010251,             0.00010251,             0.00010251
                     16,                 2.1031,                 4.2516,                 2.0073,                0.12553,                0.16519,                0.13732,                0.09213,                 1.8873,                 3.6174,                 1.8961,             0.00010133,             0.00010133,             0.00010133
                     17,                 2.0023,                 4.1071,                 1.9473,                0.12107,                0.20756,                0.15035,                0.10422,                 1.8684,                 3.5794,                 1.8808,             0.00010015,             0.00010015,             0.00010015
